CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LP12,nivel_1_LP12,nivel_2_LP12,nivel_3_LP12,nivel_4_LP12,nivel_5_LP12,nivel_6_LP12,nivel_7_LP12,nivel_8_LP12,nivel_0_MT12,nivel_1_MT12,nivel_2_MT12,nivel_3_MT12,nivel_4_MT12,nivel_5_MT12,nivel_6_MT12,nivel_7_MT12,nivel_8_MT12,nivel_9_MT12,nivel_10_MT12
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual, Municipal e Privada",Rural,"170,4","182,15","236,15","237,28",,,"20,65","15,82","19,9","14,72","13,27","9,57","5,57","0,5",0,0,"8,15","16,08","20,84","22,79","14,3","11,7","4,62","1,01","0,51",0,0,"27,83","15,13","14,29","18,9","14,29","7,39",0,"2,18",0,"22,62","14,88","19,15","29,66","2,18","7,14","4,37",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual, Municipal e Privada",Total,"174,11","185,81","242,56","241,77",,,"15,37","18,34","20,23","16,33","13,16","11,2","4,15","1,22",0,0,"5,28","15,22","20,14","25,63","16,14","11,11","5,17","0,76","0,54",0,0,"21,58","15,9","14,73",21,"17,04","7,15","1,07","1,54",0,"19,74","16,7","18,18","22,05",15,"5,79","1,67","0,86",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual, Municipal e Privada",Urbana,"178,14","189,79","243,66","242,54",,,"9,63","21,08","20,59","18,08","13,04","12,98","2,61","1,99",0,0,"2,16","14,29","19,37","28,73","18,14","10,47","5,78","0,5","0,57",0,0,"20,51","16,03","14,81","21,36","17,51","7,11","1,25","1,42",0,"19,25","17,02","18,02","20,74","17,2","5,56","1,21","1,01",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2403251,Parnamirim,Estadual,Total,"174,13","193,71","241,53","239,86","268,75","266,91","5,2","22,62","26,54","25,31","8,91","4,91","5,19","1,31",0,0,"3,92","3,8","29,3","21,23","21,43","12,61","3,8","2,6",0,"1,31",0,"21,68","15,07","19,85","17,64","13,14","8,79","3,54","0,3",0,"23,7","14,74","19,32","17,57","13,64","6,26","4,04","0,47","0,26",0,"22,73","13,44","18,71","17,63","16,71","8,08","2,68",0,0,"23,47","13,6","19,07","19,07","15,11","7,05","2,27","0,25","0,11",0,0
24,Rio Grande do Norte,2403251,Parnamirim,Estadual,Urbana,"174,13","193,71","242,46","240,38","270,67","268,37","5,2","22,62","26,54","25,31","8,91","4,91","5,19","1,31",0,0,"3,92","3,8","29,3","21,23","21,43","12,61","3,8","2,6",0,"1,31",0,"21,52","14,92","18,92","18,04","13,43","8,98","3,87","0,33",0,"24,04","13,34","20,18","16,74","14,27","6,53","4,1","0,51","0,28",0,"21,99","13,07","18,04","18,25","17,26","8,48","2,91",0,0,"22,96","13,09","19,09","18,71","15,78","7,65","2,31","0,27","0,12",0,0
24,Rio Grande do Norte,2403251,Parnamirim,Municipal,Total,"199,09","205,16","248,19","247,51",,,"5,07","10,65","16,49","19,76","17,7","15,82","8,54","4,46","1,46","0,05","1,8","6,46","16,03","23,53","21,65","15,63","8,87","4,3","1,43","0,3",0,"18,02","15,15","15,02","19,61","17,69","9,65",4,"0,86",0,"17,71","13,98","20,13","19,37","15,31","8,31","3,67",1,"0,5",0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2403251,Parnamirim,Municipal,Urbana,"199,09","205,16","248,19","247,51",,,"5,07","10,65","16,49","19,76","17,7","15,82","8,54","4,46","1,46","0,05","1,8","6,46","16,03","23,53","21,65","15,63","8,87","4,3","1,43","0,3",0,"18,02","15,15","15,02","19,61","17,69","9,65",4,"0,86",0,"17,71","13,98","20,13","19,37","15,31","8,31","3,67",1,"0,5",0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2403251,Parnamirim,Total - Estadual e Municipal,Total,198,"204,67","246,58","245,66","268,75","266,91","5,08","11,17","16,92",20,"17,32","15,34","8,4","4,32","1,4","0,05","1,89","6,34","16,6","23,43","21,64","15,5","8,65","4,23","1,37","0,35",0,"18,91","15,13","16,19","19,13","16,59","9,44","3,89","0,72",0,"19,16","14,16","19,94","18,94","14,91","7,82","3,76","0,87","0,44",0,"22,73","13,44","18,71","17,63","16,71","8,08","2,68",0,0,"23,47","13,6","19,07","19,07","15,11","7,05","2,27","0,25","0,11",0,0
24,Rio Grande do Norte,2403251,Parnamirim,Total - Estadual e Municipal,Urbana,198,"204,67","246,9","245,9","270,67","268,37","5,08","11,17","16,92",20,"17,32","15,34","8,4","4,32","1,4","0,05","1,89","6,34","16,6","23,43","21,64","15,5","8,65","4,23","1,37","0,35",0,"18,81","15,1","15,9","19,25","16,72","9,5","3,97","0,74",0,"19,14","13,84","20,14","18,78","15,08","7,91","3,77","0,89","0,45",0,"21,99","13,07","18,04","18,25","17,26","8,48","2,91",0,0,"22,96","13,09","19,09","18,71","15,78","7,65","2,31","0,27","0,12",0,0
24,Rio Grande do Norte,2403251,Parnamirim,"Total - Federal, Estadual e Municipal",Total,198,"204,67","246,58","245,66","279,64","281,3","5,08","11,17","16,92",20,"17,32","15,34","8,4","4,32","1,4","0,05","1,89","6,34","16,6","23,43","21,64","15,5","8,65","4,23","1,37","0,35",0,"18,91","15,13","16,19","19,13","16,59","9,44","3,89","0,72",0,"19,16","14,16","19,94","18,94","14,91","7,82","3,76","0,87","0,44",0,"22,73","13,44","18,71","17,63","16,71","8,08","2,68",0,0,"23,47","13,6","19,07","19,07","15,11","7,05","2,27","0,25","0,11",0,0
