CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LP12,nivel_1_LP12,nivel_2_LP12,nivel_3_LP12,nivel_4_LP12,nivel_5_LP12,nivel_6_LP12,nivel_7_LP12,nivel_8_LP12,nivel_0_MT12,nivel_1_MT12,nivel_2_MT12,nivel_3_MT12,nivel_4_MT12,nivel_5_MT12,nivel_6_MT12,nivel_7_MT12,nivel_8_MT12,nivel_9_MT12,nivel_10_MT12
24,Rio Grande do Norte,2410702,Riacho da Cruz,"Total - Federal, Estadual, Municipal e Privada",Total,"201,45","212,18","261,65","265,67","252,18","252,64","6,25","13,39","10,27","22,77","23,21","7,14","3,12","6,7","7,14",0,0,"3,12","12,95","29,46","20,54","16,52","6,7","7,14","3,57",0,0,"5,88","26,47","5,88","23,53","17,65","8,82","11,76",0,0,"17,65","5,88","14,71","23,53","8,82","11,76","8,82","5,88","2,94",0,20,32,20,24,0,0,4,0,0,20,20,24,24,12,0,0,0,0,0,0
24,Rio Grande do Norte,2410702,Riacho da Cruz,"Total - Federal, Estadual, Municipal e Privada",Urbana,"201,45","212,18","261,65","265,67","252,18","252,64","6,25","13,39","10,27","22,77","23,21","7,14","3,12","6,7","7,14",0,0,"3,12","12,95","29,46","20,54","16,52","6,7","7,14","3,57",0,0,"5,88","26,47","5,88","23,53","17,65","8,82","11,76",0,0,"17,65","5,88","14,71","23,53","8,82","11,76","8,82","5,88","2,94",0,20,32,20,24,0,0,4,0,0,20,20,24,24,12,0,0,0,0,0,0
24,Rio Grande do Norte,2410801,Riacho de Santana,Estadual,Total,,,"233,2","237,03",,,,,,,,,,,,,,,,,,,,,,,,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,Estadual,Urbana,,,"233,2","237,03",,,,,,,,,,,,,,,,,,,,,,,,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,Municipal,Rural,"169,51","192,63",,,,,"5,26","31,58","10,53","31,58","21,05",0,0,0,0,0,0,"15,79","15,79","21,05","26,32","15,79","5,26",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,Municipal,Total,"185,79","199,5",,,,,"4,86","19,24","14,99","22,17","23,34","8,58","5,07","1,75",0,0,"4,88","4,64","19,47","16,33","30,95","16,92","5,05","1,75",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,Municipal,Urbana,"192,57","202,37",,,,,"4,7","14,09","16,85","18,25","24,3","12,15","7,18","2,48",0,0,"6,91",0,21,"14,36","32,88","17,39","4,97","2,48",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,Total - Estadual e Municipal,Rural,"169,51","192,63",,,,,"5,26","31,58","10,53","31,58","21,05",0,0,0,0,0,0,"15,79","15,79","21,05","26,32","15,79","5,26",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,Total - Estadual e Municipal,Total,"185,79","199,5","233,2","237,03",,,"4,86","19,24","14,99","22,17","23,34","8,58","5,07","1,75",0,0,"4,88","4,64","19,47","16,33","30,95","16,92","5,05","1,75",0,0,0,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2410801,Riacho de Santana,Total - Estadual e Municipal,Urbana,"192,57","202,37","233,2","237,03",,,"4,7","14,09","16,85","18,25","24,3","12,15","7,18","2,48",0,0,"6,91",0,21,"14,36","32,88","17,39","4,97","2,48",0,0,0,"35,48","6,45","9,68","25,81","16,13","6,45",0,0,0,"16,13","22,58","22,58","22,58","16,13",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
