,ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,PC_FORMACAO_DOCENTE_INICIAL,PC_FORMACAO_DOCENTE_FINAL,PC_FORMACAO_DOCENTE_MEDIO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_5EF,NU_PRESENTES_5EF,TAXA_PARTICIPACAO_5EF,NIVEL_0_LP5,NIVEL_1_LP5,NIVEL_2_LP5,NIVEL_3_LP5,NIVEL_4_LP5,NIVEL_5_LP5,NIVEL_6_LP5,NIVEL_7_LP5,NIVEL_8_LP5,NIVEL_9_LP5,NIVEL_0_MT5,NIVEL_1_MT5,NIVEL_2_MT5,NIVEL_3_MT5,NIVEL_4_MT5,NIVEL_5_MT5,NIVEL_6_MT5,NIVEL_7_MT5,NIVEL_8_MT5,NIVEL_9_MT5,NIVEL_10_MT5,NU_MATRICULADOS_CENSO_9EF,NU_PRESENTES_9EF,TAXA_PARTICIPACAO_9EF,NIVEL_0_LP9,NIVEL_1_LP9,NIVEL_2_LP9,NIVEL_3_LP9,NIVEL_4_LP9,NIVEL_5_LP9,NIVEL_6_LP9,NIVEL_7_LP9,NIVEL_8_LP9,NIVEL_0_MT9,NIVEL_1_MT9,NIVEL_2_MT9,NIVEL_3_MT9,NIVEL_4_MT9,NIVEL_5_MT9,NIVEL_6_MT9,NIVEL_7_MT9,NIVEL_8_MT9,NIVEL_9_MT9,NU_MATRICULADOS_CENSO_EMT,NU_PRESENTES_EMT,TAXA_PARTICIPACAO_EMT,NIVEL_0_LPEMT,NIVEL_1_LPEMT,NIVEL_2_LPEMT,NIVEL_3_LPEMT,NIVEL_4_LPEMT,NIVEL_5_LPEMT,NIVEL_6_LPEMT,NIVEL_7_LPEMT,NIVEL_8_LPEMT,NIVEL_0_MTEMT,NIVEL_1_MTEMT,NIVEL_2_MTEMT,NIVEL_3_MTEMT,NIVEL_4_MTEMT,NIVEL_5_MTEMT,NIVEL_6_MTEMT,NIVEL_7_MTEMT,NIVEL_8_MTEMT,NIVEL_9_MTEMT,NIVEL_10_MTEMT,NU_MATRICULADOS_CENSO_EMI,NU_PRESENTES_EMI,TAXA_PARTICIPACAO_EMI,NIVEL_0_LPEMI,NIVEL_1_LPEMI,NIVEL_2_LPEMI,NIVEL_3_LPEMI,NIVEL_4_LPEMI,NIVEL_5_LPEMI,NIVEL_6_LPEMI,NIVEL_7_LPEMI,NIVEL_8_LPEMI,NIVEL_0_MTEMI,NIVEL_1_MTEMI,NIVEL_2_MTEMI,NIVEL_3_MTEMI,NIVEL_4_MTEMI,NIVEL_5_MTEMI,NIVEL_6_MTEMI,NIVEL_7_MTEMI,NIVEL_8_MTEMI,NIVEL_9_MTEMI,NIVEL_10_MTEMI,NU_MATRICULADOS_CENSO_EM,NU_PRESENTES_EM,TAXA_PARTICIPACAO_EM,NIVEL_0_LPEM,NIVEL_1_LPEM,NIVEL_2_LPEM,NIVEL_3_LPEM,NIVEL_4_LPEM,NIVEL_5_LPEM,NIVEL_6_LPEM,NIVEL_7_LPEM,NIVEL_8_LPEM,NIVEL_0_MTEM,NIVEL_1_MTEM,NIVEL_2_MTEM,NIVEL_3_MTEM,NIVEL_4_MTEM,NIVEL_5_MTEM,NIVEL_6_MTEM,NIVEL_7_MTEM,NIVEL_8_MTEM,NIVEL_9_MTEM,NIVEL_10_MTEM,MEDIA_5EF_LP,MEDIA_5EF_MT,MEDIA_9EF_LP,MEDIA_9EF_MT,MEDIA_EMT_LP,MEDIA_EMT_MT,MEDIA_EMI_LP,MEDIA_EMI_MT,MEDIA_EM_LP,MEDIA_EM_MT
18020,2019,2,24,2405801,2,24038393,3,2,40.0,,,N�vel IV,22.0,22.0,1.0,22.73,31.82,22.73,18.18,4.55,0.0,0.0,0.0,0.0,0.0,0.0,22.73,50.0,13.64,4.55,9.09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.41,166.79,,,,,,,,
18021,2019,2,24,2405801,2,24038407,3,1,100.0,33.3,,N�vel III,17.0,15.0,0.8823529412,33.33,26.67,20.0,6.67,13.33,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.33,40.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.38,169.72,,,,,,,,
18022,2019,2,24,2405801,2,24038458,3,1,53.1,,,N�vel IV,32.0,31.0,0.96875,6.51,12.39,17.23,18.91,22.48,9.45,2.94,10.08,0.0,0.0,0.0,6.51,13.66,25.42,28.36,19.54,3.57,0.0,2.94,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.24,202.03,,,,,,,,
18023,2019,2,24,2405801,2,24038628,3,2,77.5,36.5,,N�vel III,15.0,16.0,1.0666666667,25.0,31.25,25.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,39.0,0.829787234,46.7,22.76,20.3,7.59,2.66,0.0,0.0,0.0,0.0,40.99,15.57,33.2,7.59,0.0,2.66,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.02,152.72,204.24,208.72,,,,,,
18024,2019,2,24,2405801,2,24038652,3,1,71.4,,,N�vel III,25.0,21.0,0.84,10.91,54.18,14.91,16.0,4.0,0.0,0.0,0.0,0.0,0.0,10.91,21.45,47.27,14.91,5.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.97,160.03,,,,,,,,
18025,2019,2,24,2405801,2,24038717,3,2,60.0,,,,26.0,23.0,0.8846153846,47.83,21.74,17.39,4.35,8.7,0.0,0.0,0.0,0.0,0.0,13.04,30.43,34.78,17.39,4.35,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.01,155.76,,,,,,,,
18026,2019,2,24,2405801,2,24038725,3,2,53.1,27.0,,N�vel III,23.0,21.0,0.9130434783,4.76,19.05,42.86,19.05,9.52,4.76,0.0,0.0,0.0,0.0,4.76,14.29,47.62,19.05,14.29,0.0,0.0,0.0,0.0,0.0,0.0,58.0,49.0,0.8448275862,44.88,20.33,20.33,8.28,1.96,2.11,0.0,2.11,0.0,47.14,20.04,18.37,8.13,2.11,4.21,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.06,168.37,212.77,211.63,,,,,,
18027,2019,2,24,2405801,2,24070874,3,1,67.1,,,N�vel IV,70.0,66.0,0.9428571429,14.62,25.39,14.5,13.83,15.57,10.61,4.05,1.43,0.0,0.0,3.61,15.25,23.23,24.14,14.09,11.33,6.92,1.43,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.5,186.5,,,,,,,,
18028,2019,2,24,2405900,2,24022853,2,1,,,62.2,N�vel II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,1.0,16.67,16.67,41.67,8.33,0.0,16.67,0.0,0.0,0.0,8.33,25.0,25.0,16.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,1.0,16.67,16.67,41.67,8.33,0.0,16.67,0.0,0.0,0.0,8.33,25.0,25.0,16.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,263.77,271.36,,,263.77,271.36
18029,2019,2,24,2405900,2,24066770,3,1,60.4,53.7,,N�vel III,43.0,34.0,0.7906976744,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,0.875,14.29,19.05,14.29,38.1,14.29,0.0,0.0,0.0,0.0,23.81,9.52,28.57,9.52,19.05,4.76,4.76,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.27,237.35,,,,,,
